Method,Mean Payload Cost,Payload Std,Mean Memory Overhead,Mean Episode Reward
PPO (Generic),11604.475566123923,1.72564486647482e-12,21235.768253054543,-17788.445415199014
PPO (BD Conditions),5275.3769849092105,9.094947017729282e-13,9653.748026844125,-7950.249916047411
Random Baseline,31919.52592365585,5184.667892280751,62171.606803621115,N/A
Sequential Baseline,32730.485977347424,6347.809509807445,64164.63579727067,N/A
