Setting,Mean Payload,Std Payload,Mean Memory,Mean Reward
Generic RL (PPO),34579.08468376495,6572.451574670034,67563.7892307565,-54786.66250983616
BD RL (PPO),27284.981207755012,5405.251829028287,52646.39824899614,-42977.59202989079
Random Baseline,32224.284313142893,5883.684513117592,62887.188700613464,N/A
